Timestamp,Enter the Username you picked for the app,  What is your field of study?  ,"  Did you already successfully participate in the ""Programmierung und Modellierung"" course ?",3. How confident are you in working with Haskell?,"A system such as the one being proposed would be a good addition to the current ""Programmierung and Modellierung"" course.  ","Rate the following statements based on your experiences with the app and the exercises that you generated:
The exercises fit the contents of the course ""Programmierung und Modellierung""","The exercises are factually correct.
","The exercise instructions are understandable and clearly formulated.
",The exercises promote my understanding of functional programming.,The exercises are varied and creatively designed.,  The difficulty of the exercises is appropriate.  ,The exercises that I worked on were too difficult,The exercises I worked on were not challenging.,"The exercises repeat too much in terms of content.
",The AI-generated feedback is helpful for my learning.,The presented tests and the generated feedback are easy to follow.  ,"The app could partly replace human feedback (e.g., from tutorials).
","The app motivates me to work on the exercises.
",I prefer this app over a traditional exercise sheet.," I want to use such an app in other programming courses as well.
","Thank you for participating ! If you want, you can put additional feedback here: "
9/18/2025 18:06:22,a,Informatik (HF),Participated already but not yet passed,Basic knowledge,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Agree,Strongly Agree,Strongly agree,.
9/18/2025 18:48:55,Kiki,Medieninformatik,Participated already but not yet passed,Basic knowledge,Strongly agree,Agree,Agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,"It would be amazing if the AI would also provide specific help on what exactly is wrong. For example the Call-by-Need etc. Only say that it’s wrong without any additional information. It would be great to know there if there maybe was some explanation for what is wrong then. I love the idea of an app like that, since the exercises alone can be a little confusing, especially if not provided with solution. I think a great addition to the app would be if there was a section that maybe also provides additional information on the topic that explains for example what Call-by-Value actually it. What I really liked is that the test results were provided, so that finding a correct solution is easier. However one thing that might be a great addition is to add syntax highlighting."
9/18/2025 20:07:08,Enzo,Informatik (HF),Participated already but not yet passed,Basic knowledge,Agree,Neither agree or disagree,Agree,Strongly disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly disagree,Disagree,Agree,Neither agree or disagree,Agree,I couldn't revisit previous exercises that were unsolved even though they were listed as unfinished
9/18/2025 20:21:47,informatikerin22,Informatik (HF),Participated already but not yet passed,Basic knowledge,Agree,Strongly agree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Strongly agree,Strongly disagree,Neither agree or disagree,Agree,Agree,Strongly disagree,Neither agree or disagree,Disagree,Agree,"It‘s an great idea in general! Maybe you could add something like different levels, because with my knowledge I wasn‘t able to solve the tasks. It requires you already have an good understanding of the topic. Maybe there could also be a solution with an explanation of how to solve it step by step. All in all, well done! "
9/21/2025 12:56:11,promo,Informatik(NF),Participated already but not yet passed,No knowledge,Strongly agree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,Agree,Agree,"finde man könnte die Aufgabenstellung noch etwas klarer machen, eventuell mit einem Beispiel etc, eventuell einbauen, dass man drei Versuche hat und nach dem dritten Versuch Stück für Stück durch Interaktion mit der KI an die Lösung herankommt. "
9/22/2025 16:39:08,Christoph,Informatik (HF),Participated and passed already,Basic knowledge,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,"Great way to practice your programming skills! By adding some gamification mechanisms, this could even be addicting."
9/22/2025 17:28:17,C8R15,Informatik (HF),Participated and passed already,Advanced knowledge,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,"The UI is very appealing and intuitive to use! I particularly like the code editor, as it already provides you with a code snippet to start with, then generates useful test cases and finally runs everything to provide immediate feedback on whether the implementation is correct."
9/22/2025 17:32:41,Alext,Informatik (HF),Participated already but not yet passed,Basic knowledge,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly Agree,Neither agree or disagree,Strongly agree,"i found the app really good and it challenged me into trying other types of exercises than the ones from the exercise sheets, which was very helpful in my case. i also found the ai feedback very accurate, which positively surprised me. thank you for this opportunity to practice before the exam, i will surely keep using the app "
9/22/2025 18:08:46,Divad,Medieninformatik,Participated and passed already,Basic knowledge,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Disagree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,No
9/22/2025 19:05:35,mörmör,LA Gymnasium,Participated already but not yet passed,Basic knowledge,Agree,Agree,Neither agree or disagree,Disagree,Agree,Strongly agree,Agree,Neither agree or disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Agree,Feedback des AI nicht immer klar genug
9/23/2025 10:34:34,ju ,Informatik (HF),Participated already but not yet passed,Basic knowledge,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,i will keep studying with this app:)
9/23/2025 11:25:48,Muji,Informatik (HF),Participated already but not yet passed,Basic knowledge,Agree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,No
9/23/2025 17:28:44,Kili,Medieninformatik(HF),Participated and passed already,Intermediate knowledge,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neither agree or disagree,Disagree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly agree,"Sehr schön geworden und sehr sehr intuitiv gestaltet. Super arbeit! So ein System wäre sehr hilfreich, wenn es in die Vrolesung integriert werden würde! 

Zu dem System selbst: Bei ein zwei Aufgaben habe ich immer eine Fehlermeldung bekommen, obwohl diese Aufgaben eigentlich korrekt sein sollten. Weder ich noch ChatGPT konnten ein fehler entdecken. Bei den Auswertungsreihenfolgen wäre eine möglichkeit für eine Musterlösung super oder ein Feedback. Ich finde meinen Fehler manchmal einfach nicht und es gibt keine Möglichkeit herauszufinden was das Problem ist.

Bei der Aufgabe minValueTree bekomme ich eine Fehlermeldung für einen falschen Test
""Dein Code für minValueTree ist grundsätzlich korrekt, aber der Compiler weiß beim Test ""minValueTree Empty == Nothing"" nicht, welchen konkreten Typ er für die leeren Bäume verwenden soll. Füge im Test eine explizite Typannotation hinzu, z.B. ""minValueTree (Empty :: BinTree Int)"", damit der Typ eindeutig bestimmt ist und der Vergleich funktioniert.""

Sonst Top, macht richtig spaß und man bekommt ein schnelles Feedback auf seine Lösungsmöglichkeit!!"
9/23/2025 16:43:49,mm20.07,Medieninformatik ,Participated already but not yet passed,No knowledge,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neither agree or disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,It would be nice if there were sample solutions for tasks where the student doesn‘t come to a right answer
9/23/2025 18:17:33,Ninaa,Informatik (HF),Participated already but not yet passed,Basic knowledge,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Strongly agree,.
9/23/2025 19:04:19,haiii,Informatik (HF),Participated and passed already,Intermediate knowledge,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly agree,The difficulty is similar to the difficulty of the work sheets and Exam. They make studying more appealing because there is instant feedback which is motivating and the advice itself is also very helpful and concise.
9/23/2025 20:45:43,Dunk1e,Informatik (HF),Participated already but not yet passed,Intermediate knowledge,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Strongly agree,"The app is a very neat way to actually practice your Haskell skills und it is quite fun to use it. The only thins bothering me were, that I was not able to use Tab. That could be fixed by providing a setting which lets you decide how many spaces you want by using Tab. Apart from that I would have really enjoyed, if this app would have been used in our ProMo classes. "
9/23/2025 23:43:18,Meg,Informatik (HF),Participated already but not yet passed,Basic knowledge,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Strongly agree,Really cool and helpful project!
9/24/2025 20:26:40,nadineK,Informatik (HF),Participated already but not yet passed,Intermediate knowledge,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly disagree,Neither agree or disagree,Agree,Agree,Strongly agree,The exercises should be able to show a solution in case someone is struggeling.
