Exercise,Description,Snippet,Tests,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage
sqrtAndCheckEven ,"Die Funktion nimmt eine ganze Zahl und berechnet zuerst ihre (ganzzahlige) Quadratwurzel, wenn sie eine perfekte Quadratzahl ist. Dann prüft sie, ob die Wurzel gerade ist, und gibt in diesem Fall das Doppelte der Wurzel zurück. Sie verwendet dabei Maybe-Chaining: Schritt 1 ist die Wurzelziehen-Validierung, Schritt 2 die Paritätsprüfung und Berechnung. Wenn die Zahl keine perfekte Quadratzahl ist oder die Wurzel ungerade, gibt sie Nothing zurück, ansonsten Just mit dem doppelten Wert der Wurzel.
","sqrtAndCheckEven :: Int -> Maybe Int  
sqrtAndCheckEven n = undefined
","sqrtAndCheckEven 16 == Just 8
sqrtAndCheckEven 18 == Nothing
sqrtAndCheckEven 9 == Nothing
sqrtAndCheckEven 0 == Just 0",3,2,2,1,3,4
tripleIfPositiveSquare ,"
Beschreibung: Die Funktion nimmt eine ganze Zahl, bildet ihre Quadratzahl und prüft danach, ob das Ergebnis positiv ist. Sie quadriert zuerst die Zahl, gibt aber Nothing zurück, falls das Ergebnis 0 oder negativ ist. Ist das Quadrat positiv, wird das Ergebnis verdreifacht und zurückgegeben (Just). Falls das Quadrat nicht positiv ist, gibt sie Nothing zurück, sonst Just mit dem dreifachen Wert des Quadrats.","tripleIfPositiveSquare :: Int -> Maybe Int  
tripleIfPositiveSquare n = undefined
","tripleIfPositiveSquare 2 == Just 12
tripleIfPositiveSquare 0 == Nothing
tripleIfPositiveSquare (-2) == Nothing
tripleIfPositiveSquare 1 == Just 3
",3,2,2,4,3,4
followRefChain ,"Beschreibung: Ein ConfigEntry ist entweder ein Wert (Val), ein Alias auf einen anderen Namen (Alias), oder ein zusammengesetzter Eintrag (Pair) aus zwei ConfigEntries; eine Env ist eine Liste von (Name,ConfigEntry)-Paaren. Die Funktion folgt einer Alias-Kette von bis zu zwei Schritten und gibt den Wert des erreichten Val zurück. Sie sucht zuerst nach dem Namen in der Env, folgt dort ggf. einem Alias, und gibt schließlich bei Val den Wert zurück. Ist ein Name nicht vorhanden, eine Alias-Kette zu lang oder landet nicht bei Val, gibt sie Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Val Int | Alias String | Pair ConfigEntry ConfigEntry deriving (Eq,Show)  
type Env = [(String,ConfigEntry)]  
followRefChain :: Env -> String -> Maybe Int  
followRefChain env key = undefined","followRefChain [(""a"",Alias ""b""),(""b"",Val 42)] ""a"" == Just 42
followRefChain [(""x"",Alias ""y"")] ""x"" == Nothing
followRefChain [(""foo"",Pair (Val 1) (Val 2))] ""foo"" == Nothing
followRefChain [(""m"",Alias ""n""),(""n"",Alias ""k""),(""k"",Val 7)] ""m"" == Just 7",3,3,3,1,5,3
getTrustedEmployee ,"Beschreibung: Ein Employee ist entweder ein Festangestellter (FullTime mit Name, Vertrauensstatus und Abteilung) oder ein Freiberufler (Freelancer mit Name und Projektdauer); eine Company ist eine Liste von (Name, Employee)-Paaren. Die Funktion sucht einen Mitarbeiter nach Namen und prüft dann, ob er festangestellt UND vertrauenswürdig ist. Sie sucht zuerst den Namen in der Company-Liste, prüft dann ob der Employee ein FullTime mit True bei Vertrauensstatus ist, und gibt in diesem Fall den Namen der Abteilung zurück. Wird der Name nicht gefunden, ist der Employee kein FullTime oder nicht vertrauenswürdig, gibt sie Nothing zurück, sonst Just mit der Abteilung.","data Employee = FullTime String Bool String | Freelancer String Int deriving (Eq,Show)  
type Company = [(String,Employee)]  
getTrustedEmployee :: String -> Company -> Maybe String  
getTrustedEmployee name company = undefined","getTrustedEmployee ""Eva"" [(""Eva"",FullTime ""Eva"" True ""IT"")] == Just ""IT""
getTrustedEmployee ""Tom"" [(""Tom"",Freelancer ""Tom"" 6)] == Nothing
getTrustedEmployee ""Susi"" [(""Susi"",FullTime ""Susi"" False ""HR"")] == Nothing
getTrustedEmployee ""Paul"" [] == Nothing",4,4,4,2,3,3
selectAvailableManager,"Beschreibung: Eine Role ist entweder ein Mitarbeiter (Staff) mit Name und Aktiv-Status oder ein Manager mit Name, Aktiv-Status und einer Abteilung; ein Team ist eine Liste von (Name,Role)-Paaren. Die Funktion sucht eine Person nach Namen und prüft, ob es sich um einen aktiven Manager handelt. Sie sucht zuerst den Namen in der Team-Liste, prüft dann, ob der Role-Konstruktor ein Manager mit aktivem Status (True) ist, und gibt bei Erfolg die Abteilung zurück. Wenn der Name nicht gefunden wird, die Person kein Manager ist oder nicht aktiv ist, gibt sie Nothing zurück, sonst Just mit der jeweiligen Abteilung.

","data Role = Staff String Bool | Manager String Bool String deriving (Eq,Show)
type Team = [(String,Role)]
selectAvailableManager :: String -> Team -> Maybe String
selectAvailableManager name team = undefined","selectAvailableManager ""Julia"" [(""Julia"",Manager ""Julia"" True ""IT""), (""Sam"",Staff ""Sam"" True)] == Just ""IT""
selectAvailableManager ""Ben"" [(""Ben"",Manager ""Ben"" False ""HR"")] == Nothing
selectAvailableManager ""Lisa"" [(""Lisa"",Staff ""Lisa"" True)] == Nothing
selectAvailableManager ""Tom"" [] == Nothing


",4,4,3,3,3,3
halfIfNonzeroEven ,"Beschreibung: Die Funktion nimmt eine ganze Zahl und halbiert sie, wenn sie sowohl ungleich 0 als auch gerade ist. Sie prüft zuerst, ob die Zahl ungleich 0 ist, und danach, ob sie gerade ist (mod 2 == 0). Ist beides erfüllt, gibt sie das halbierte Ergebnis als Just zurück. Andernfalls, also wenn die Zahl 0 oder ungerade ist, gibt sie Nothing zurück.","halfIfNonzeroEven :: Int -> Maybe Int
halfIfNonzeroEven n = undefined","halfIfNonzeroEven 8 == Just 4
halfIfNonzeroEven 7 == Nothing
halfIfNonzeroEven 0 == Nothing
halfIfNonzeroEven (-4) == Just (-2)",2,4,2,4,2,4
decThenCheckPositive ,"Beschreibung: Die Funktion nimmt eine ganze Zahl, zieht eins ab und prüft dann, ob das Ergebnis positiv ist. Zuerst berechnet sie n - 1 und validiert, dass das Resultat größer als 0 ist. Falls das Ergebnis diese Prüfung besteht, gibt sie die positive Zahl als Just zurück; andernfalls Nothing. Ist das Ergebnis nach dem Subtrahieren nicht positiv, ergibt die Funktion Nothing, ansonsten Just mit der Zahl.","decThenCheckPositive :: Int -> Maybe Int
decThenCheckPositive n = undefined","decThenCheckPositive 5 == Just 4
decThenCheckPositive 1 == Nothing
decThenCheckPositive 0 == Nothing
decThenCheckPositive (-2) == Nothing",2,4,2,4,1,4
"expandConfigAlias","Beschreibung: Ein ConfigEntry ist entweder ein Wert (Val), ein Alias auf einen anderen Namen (Alias), oder ein Verweis auf ein anderes Feld (Ref); eine Env ist eine Liste von (Name,ConfigEntry)-Paaren. Die Funktion löst einen ConfigEntry auf, wobei sie bei Alias und Ref jeweils den entsprechenden Namen in der Env nachschlägt (maximal zwei Lookup-Schritte). Sie schaut zuerst den Namen für den ersten ConfigEntry in der Env nach, folgt ggf. einem Alias oder Ref noch ein zweites Mal, und erwartet schließlich einen Val-Eintrag. Wenn ein Name nicht vorhanden ist, die Kette zu lang ist oder kein Val erreicht wird, gibt sie Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Val Int | Alias String | Ref String deriving (Eq,Show)
type Env = [(String,ConfigEntry)]
expandConfigAlias :: Env -> String -> Maybe Int
expandConfigAlias env key = undefined
","expandConfigAlias [(""a"",Alias ""b""),(""b"",Ref ""c""),(""c"",Val 42)] ""a"" == Just 42
expandConfigAlias [(""x"",Ref ""y""),(""y"",Val 7)] ""x"" == Just 7
expandConfigAlias [(""z"",Alias ""notfound"")] ""z"" == Nothing
expandConfigAlias [(""u"",Alias ""v""),(""v"",Alias ""w""),(""w"",Alias ""x"")] ""u"" == Nothing",5,4,4,3,4,4
findPremiumMember,"Beschreibung: Ein Account ist entweder ein Gast (Guest) mit Nutzername oder ein registrierter Nutzer (User) mit Nutzername, Premium-Status und Punktezahl; eine AccountDB ist eine Liste von (Nutzername, Account)-Paaren. Die Funktion sucht einen Account nach Nutzername und prüft, ob es sich um einen registrierten Nutzer mit Premium-Status handelt. Sie schaut zuerst den Namen in der AccountDB nach, prüft dann, ob der Account ein User mit Premium-Status True ist, und gibt in diesem Fall die aktuelle Punktezahl zurück. Wird der Name nicht gefunden oder ist kein Premium-User hinterlegt, gibt sie Nothing zurück, sonst Just mit der Punktezahl.","data Account = Guest String | User String Bool Int deriving (Eq,Show)
type AccountDB = [(String,Account)]
findPremiumMember :: String -> AccountDB -> Maybe Int
findPremiumMember name db = undefined","findPremiumMember ""alice"" [(""alice"",User ""alice"" True 120),(""bob"",User ""bob"" False 50)] == Just 120
findPremiumMember ""bob"" [(""alice"",User ""alice"" True 120),(""bob"",User ""bob"" False 50)] == Nothing
findPremiumMember ""eve"" [(""alice"",User ""alice"" True 120)] == Nothing
findPremiumMember ""guest"" [(""guest"",Guest ""guest"")] == Nothing",4,5,4,4,2,4
pickAvailableExpert ,"Beschreibung: Ein Specialist ist entweder ein Developer mit Name, Erfahrung (in Jahren) und Verfügbarkeit (Bool), oder ein Consultant mit Name, Fachgebiet und Verfügbarkeit; ein TeamDB ist eine Liste von (Name, Specialist)-Paaren. Die Funktion sucht einen Experten nach Namen und prüft, ob er ein verfügbarer Developer mit mindestens 5 Jahren Erfahrung ist. Sie sucht zuerst den Namen in der TeamDB, prüft dann ob der Specialist ein Developer mit Verfügbarkeit True und Erfahrung >= 5 ist, und gibt in diesem Fall den Namen zurück. Wird der Name nicht gefunden oder ist der Specialist kein ausreichend erfahrener und verfügbarer Developer, gibt sie Nothing zurück, sonst Just mit dem Namen.","data Specialist = Developer String Int Bool | Consultant String String Bool deriving (Eq,Show)
type TeamDB = [(String,Specialist)]
pickAvailableExpert :: String -> TeamDB -> Maybe String
pickAvailableExpert name db = undefined","pickAvailableExpert ""Eva"" [(""Eva"",Developer ""Eva"" 7 True),(""Tom"",Consultant ""Tom"" ""AI"" True)] == Just ""Eva""
pickAvailableExpert ""Tom"" [(""Eva"",Developer ""Eva"" 7 True),(""Tom"",Consultant ""Tom"" ""AI"" True)] == Nothing
pickAvailableExpert ""Lena"" [(""Lena"",Developer ""Lena"" 3 True)] == Nothing
pickAvailableExpert ""Max"" [] == Nothing",4,5,4,4,2,4
