Exercise,Description,Snippet,Tests,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage
oddSquaresSum,"Beschreibung: Gibt die Summe der Quadrate aller ungeraden Zahlen in einer Liste zurück, mithilfe von Rekursion. Gerade Zahlen werden dabei ignoriert.","oddSquaresSum :: [Int] -> Int
oddSquaresSum [] = 0
oddSquaresSum (x:xs) = undefined","oddSquaresSum [] == 0
oddSquaresSum [2] == 0
oddSquaresSum [1,2,3] == 10
oddSquaresSum [0,7,4,3,8] == 58",5,5,4,1,3,4
countOddNegatives ,"Beschreibung: Gibt die Anzahl der negativen und ungeraden Zahlen in einer Liste zurück, mithilfe von Rekursion.","countOddNegatives :: [Int] -> Int
countOddNegatives [] = 0
countOddNegatives (x:xs) = undefined","countOddNegatives ([] :: [Int]) == 0
countOddNegatives [-3] == 1
countOddNegatives [-3,2,-2,7,-5,0] == 2
countOddNegatives [0,2,4,-2] == 0",5,3,3,3,3,4
reverseList ,Beschreibung: Gibt die umgekehrte Reihenfolge der Elemente einer Liste mithilfe von Rekursion zurück.,"reverseList :: [a] -> [a]
reverseList [] = []
reverseList (x:xs) = undefined","reverseList ([] :: [Int]) == ([] :: [Int])
reverseList [7] == [7]
reverseList [1,2,3] == [3,2,1]
reverseList [0,-1,4] == [4,-1,0]",5,4,4,1,3,4
duplicateAll,"Beschreibung: Verdoppelt jedes Element einer Liste hintereinander, erhält die Reihenfolge und nutzt Rekursion.","duplicateAll :: [Int] -> [Int]
duplicateAll [] = []
duplicateAll (x:xs) = undefined","duplicateAll ([] :: [Int]) == ([] :: [Int])
duplicateAll [7] == [7,7]
duplicateAll [1,2,3] == [1,1,2,2,3,3]
duplicateAll [0,-2] == [0,0,-2,-2]",5,4,3,2,2,4
interleaveZeroes,Beschreibung: Fügt zwischen jedes Element der Liste eine Null und rekonstruiert dabei die Liste mithilfe von Rekursion. Am Ende wird keine Null angehängt. Die Reihenfolge der ursprünglichen Elemente bleibt erhalten.,"interleaveZeroes :: [Int] -> [Int]
interleaveZeroes [] = []
interleaveZeroes (x:xs) = undefined","interleaveZeroes ([] :: [Int]) == ([] :: [Int])
interleaveZeroes [4] == [4]
interleaveZeroes [1,2,3] == [1,0,2,0,3]
interleaveZeroes [-2,7] == [-2,0,7]",5,4,4,2,4,4
halveAll ,"Beschreibung: Gibt eine Liste zurück, in der jeder Wert aus der Eingabeliste ganzzahlig halbiert wurde, mithilfe von Rekursion.","halveAll :: [Int] -> [Int]
halveAll [] = []
halveAll (x:xs) = undefined","halveAll ([] :: [Int]) == ([] :: [Int])
halveAll [9] == [4]
halveAll [6,5,4] == [3,2,2]
halveAll [-3,10] == [-1,5]",3,4,3,3,2,4
productPositives,"Beschreibung: Gibt das Produkt aller positiven Zahlen in einer Liste zurück, mithilfe von Rekursion. Nicht-positive Werte werden ignoriert.","productPositives :: [Int] -> Int
productPositives [] = 1
productPositives (x:xs) = undefined","productPositives [] == 1
productPositives [5] == 5
productPositives [2,0,-3,4] == 8
productPositives [-1,-2,0] == 1",5,4,3,4,3,4
signAll ,"Beschreibung: Wandelt jede Zahl in einer Liste mithilfe von Rekursion in ihr Vorzeichen um (-1 für negativ, 0 für null, 1 für positiv).","signAll :: [Int] -> [Int]
signAll [] = []
signAll (x:xs) = undefined","signAll ([] :: [Int]) == ([] :: [Int])
signAll [5] == [1]
signAll [1,0,-3] == [1,0,-1]
signAll [-10,0,7] == [-1,0,1]",4,4,4,3,4,4
squarePlusOneAll ,"Beschreibung: Hebt jeden Wert einer Liste ganzzahlig zum Quadrat und addiert 1, mithilfe von Rekursion.","squarePlusOneAll :: [Int] -> [Int]  
squarePlusOneAll [] = []  
squarePlusOneAll (x:xs) = undefined","squarePlusOneAll ([] :: [Int]) == ([] :: [Int])
squarePlusOneAll [2] == [5]
squarePlusOneAll [1,2,3] == [2,5,10]
squarePlusOneAll [-2,0,4] == [5,1,17]",5,4,3,4,3,4
alternatingSum ,"Beschreibung: Berechnet die alternierende Summe einer Liste von Zahlen, beginnt mit Plus für das erste Element, dann Minus für das zweite usw. Verwendet dabei Rekursion.
","alternatingSum :: [Int] -> Int
alternatingSum [] = 0
alternatingSum (x:xs) = x - alternatingSum xs","alternatingSum ([] :: [Int]) == 0
alternatingSum [7] == 7
alternatingSum [3,5,2,6] == 3-5+2-6
alternatingSum [1,2,3] == 1-2+3",5,5,3,4,1,4
